,Pid,CompID
0,15826,0.0
1,15827,0.0
2,21113,0.0
3,582,1.0
4,583,1.0
5,584,1.0
6,585,1.0
7,586,1.0
8,587,1.0
9,588,1.0
10,589,1.0
11,590,1.0
12,591,1.0
13,592,1.0
14,593,1.0
15,594,1.0
16,595,1.0
17,596,1.0
18,597,1.0
19,601,1.0
20,602,1.0
21,603,1.0
22,604,1.0
23,605,1.0
24,606,1.0
25,607,1.0
26,608,1.0
27,609,1.0
28,610,1.0
29,611,1.0
30,612,1.0
31,613,1.0
32,614,1.0
33,615,1.0
34,616,1.0
35,617,1.0
36,618,1.0
37,619,1.0
38,620,1.0
39,621,1.0
40,622,1.0
41,623,1.0
42,624,1.0
43,625,1.0
44,626,1.0
45,627,1.0
46,628,1.0
47,629,1.0
48,630,1.0
49,631,1.0
50,632,1.0
51,633,1.0
52,634,1.0
53,635,1.0
54,636,1.0
55,637,1.0
56,638,1.0
57,639,1.0
58,640,1.0
59,641,1.0
60,642,1.0
61,643,1.0
62,644,1.0
63,645,1.0
64,646,1.0
65,647,1.0
66,648,1.0
67,649,1.0
68,650,1.0
69,651,1.0
70,652,1.0
71,653,1.0
72,654,1.0
73,655,1.0
74,656,1.0
75,657,1.0
76,658,1.0
77,659,1.0
78,660,1.0
79,661,1.0
80,662,1.0
81,663,1.0
82,664,1.0
83,665,1.0
84,666,1.0
85,667,1.0
86,668,1.0
87,669,1.0
88,670,1.0
89,671,1.0
90,672,1.0
91,673,1.0
92,674,1.0
93,675,1.0
94,676,1.0
95,677,1.0
96,678,1.0
97,679,1.0
98,680,1.0
99,681,1.0
100,682,1.0
101,683,1.0
102,684,1.0
103,685,1.0
104,686,1.0
105,687,1.0
106,688,1.0
107,689,1.0
108,690,1.0
109,691,1.0
110,692,1.0
111,693,1.0
112,694,1.0
113,695,1.0
114,696,1.0
115,697,1.0
116,698,1.0
117,699,1.0
118,700,1.0
119,701,1.0
120,702,1.0
121,703,1.0
122,704,1.0
123,705,1.0
124,706,1.0
125,707,1.0
126,708,1.0
127,709,1.0
128,710,1.0
129,711,1.0
130,712,1.0
131,713,1.0
132,714,1.0
133,715,1.0
134,716,1.0
135,717,1.0
136,718,1.0
137,719,1.0
138,720,1.0
139,721,1.0
140,722,1.0
141,723,1.0
142,724,1.0
143,725,1.0
144,726,1.0
145,727,1.0
146,728,1.0
147,729,1.0
148,730,1.0
149,731,1.0
150,732,1.0
151,733,1.0
152,734,1.0
153,735,1.0
154,736,1.0
155,737,1.0
156,738,1.0
157,739,1.0
158,740,1.0
159,741,1.0
160,742,1.0
161,743,1.0
162,744,1.0
163,745,1.0
164,746,1.0
165,747,1.0
